raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,ID,raw,0,NA,NA,NA,NA,NA,NA
nvs_paas_1_pre,NA,Enthusiastic,raw,0,"Do Not Feel=0, Feel Slightly=1, Feel Moderately=2, Feel Strongly=3, Feel Very Strongly=4",NA,NA,NA,NA,NA
nvs_paas_2_pre,NA,Crummy,raw,0,"Do Not Feel=0, Feel Slightly=1, Feel Moderately=2, Feel Strongly=3, Feel Very Strongly=5",NA,NA,NA,NA,NA
nvs_paas_3_pre,NA,Fatigued,raw,0,"Do Not Feel=0, Feel Slightly=1, Feel Moderately=2, Feel Strongly=3, Feel Very Strongly=6",NA,NA,NA,NA,NA
nvs_paas_4_pre,NA,Calm,raw,0,"Do Not Feel=0, Feel Slightly=1, Feel Moderately=2, Feel Strongly=3, Feel Very Strongly=7",NA,NA,NA,NA,NA
nvs_biss_1_pre,NA,Right now I feel...,raw,0,"Extremely dissatisfied with my physical appearance=1, Mostly dissatisfied with my physical appearance=2, Moderately dissatisfied with my physical appearance=3, Slightly dissatisfied with my physical appearance=4, Neither dissatisfied nor satisfied with my physical appearance=5, Slightly satisfied with my physical appearance=6, Moderately satisfied with my physical appearance=7, Mostly satisfied with my physical appearance=8, Extremely satisfied with my physical appearance=9",NA,NA,NA,NA,NA
nvs_biss_2_pre,NA,Right now I feel...,raw,0,"Extremely dissatisfied with my body size and shape =1, Mostly dissatisfied with my body size and shape =2, Moderately dissatisfied with my body size and shape =3, Slightly dissatisfied with my body size and shape =4, Neither dissatisfied nor satisfied with my body size and shape =5, Slightly satisfied with my body size and shape =6, Moderately satisfied with my body size and shape =7, Mostly satisfied with my body size and shape =8, Extremely satisfied with my body size and shape =9",NA,NA,NA,NA,NA
nvs_biss_3_pre,NA,Right now I feel...,raw,0,"Extremely dissatisfied with my weight =1, Mostly dissatisfied with my weight =2, Moderately dissatisfied with my weight =3, Slightly dissatisfied with my weight =4, Neither dissatisfied nor satisfied with my weight =5, Slightly satisfied with my weight =6, Moderately satisfied with my weight =7, Mostly satisfied with my weight =8, Extremely satisfied with my weight =9",NA,NA,NA,NA,NA
nvs_biss_4_pre,NA,Right now I feel...,raw,0,"Extremely physically unattractive =1, Very physically unattractive =2, Moderately physically unattractive =3, Slightly physically unattractive =4, Neither attractive nor unattractive =5, Slightly physically attractive =6, Moderately physically attractive =7, Very physically attractive =8, Extremely physically attractive =9",NA,NA,NA,NA,NA
bvs_biss_5_pre,NA,Right now I feel...,raw,0,"A great deal worse about my looks than I usually feel=1, Much worse about my looks than I usually feel=2, Somewhat worse about my looks than I usually feel=3, Just slightly worse about my looks than I usually feel=4, About the same about my looks as usual=5, Just slightly better about my looks than I usually feel=6, Somewhat better about my looks than I usually feel=7, Much better about my looks than I usually feel=8, A great deal better about my looks than I usually feel=9",NA,NA,NA,NA,NA
nvs_biss_6_pre,NA,Right now I feel that I look...,raw,0,"A great deal worse than the average person looks=1, Much worse than the average person looks=2, Somewhat worse than the average person looks=3, Just slightly worse than the average person looks=4, About the same as the average person looks=5, Just slightly better than the average person looks=6, Somewhat better than the average person looks=7, Much better than the average person looks=8, A great deal better than the average person looks=9",NA,NA,NA,NA,NA
nvs_fcq_1_restrict_pre,NA,I have an intense desire to restrict.,raw,0,"strongly disagree =1, disagree =2, neutral =3, agree =4, strongly agree =5",NA,NA,NA,NA,NA
nvs_fcq_1_fast_pre,NA,I have an intense desire to fast.,raw,0,"strongly disagree =1, disagree =2, neutral =3, agree =4, strongly agree =5",NA,NA,NA,NA,NA
nvs_fcq_1_vomit_pre,NA,I have an intense desire to vomit/purge.,raw,0,"strongly disagree =1, disagree =2, neutral =3, agree =4, strongly agree =5",NA,NA,NA,NA,NA
nvs_fcq_1_laxatives_pre,NA,I have an intense desire to use laxatives.,raw,0,"strongly disagree =1, disagree =2, neutral =3, agree =4, strongly agree =5",NA,NA,NA,NA,NA
